Row,FL,X,Y,Z,X1,Y1,Z1
21,c, 32.9, 137.0, -35.2,29.05, 129.26, -28.76
23,c, 36.8, 139.5, -43.7,46.53, 134.68, -52.93
25,c, 30.5, 136.7, -39.8,23.08, 122.94, -36.42
27,c, 34.2, 138.3, -45.9,33.72, 127.76, -53.70
29,c, 33.8, 144.1, -38.6,34.98, 149.47, -32.96
31,c, 30.0, 137.9, -42.4,26.40, 135.25, -44.37
33,c, 25.3, 140.5, -41.8,15.41, 135.84, -40.63
35,c, 33.6, 143.1, -43.4,40.21, 145.54, -46.43
37,c, 32.4, 141.7, -46.1,35.50, 141.38, -52.63
39,c, 27.4, 148.0, -38.8,24.64, 153.44, -28.35
41,c, 24.8, 142.3, -45.4,14.66, 139.86, -49.80
43,c, 25.3, 145.1, -42.1,15.52, 145.34, -36.56
45,c, 24.3, 148.5, -44.9,20.03, 154.84, -44.73
47,c, 23.6, 147.6, -47.7,15.22, 148.75, -55.63
49,c, 27.9, 149.9, -49.2,36.83, 144.46, -54.97
51,c, 18.4, 150.4, -47.5,0.84, 150.78, -49.18
53,c, 24.3, 150.5, -49.6,27.06, 144.92, -61.24
55,c, 19.9, 151.1, -51.7,15.71, 145.33, -66.84
57,c, 21.5, 153.0, -47.2,35.67, 157.55, -44.94
59,c, 18.3, 154.7, -46.2,1.87, 161.30, -39.46
61,c, 29.2, 123.1, -40.8,24.49, 113.62, -32.33
63,c, 24.8, 117.1, -49.3,23.79, 106.25, -37.80
65,c, 23.4, 117.5, -48.6,21.82, 106.66, -38.78
67,c, 19.1, 117.8, -54.1,14.77, 110.11, -49.04
69,c, 21.5, 112.9, -60.5,21.29, 104.50, -66.67
71,c, 17.6, 113.2, -60.4,19.73, 111.79, -66.55
73,c, 17.8, 115.8, -59.2,21.31, 124.11, -61.96
75,c, 11.4, 116.7, -57.4,6.66, 112.10, -49.54
77,c, 7.2, 119.6, -60.4,-6.36, 121.31, -52.41
79,c, 7.0, 113.6, -58.1,1.67, 106.91, -55.32
81,c, 7.4, 117.1, -62.5,-4.54, 118.08, -65.98
83,c, 10.8, 116.5, -65.8,4.39, 113.60, -76.71
85,c, 25.6, 119.0, -55.8,24.82, 115.22, -51.13
87,c, 17.6, 120.1, -62.6,12.45, 113.01, -63.58
89,c, 22.3, 122.1, -63.5,24.25, 118.89, -70.39
91,c, 15.6, 125.1, -56.6,10.13, 115.18, -50.97
93,c, 21.7, 125.1, -55.9,23.71, 117.47, -50.37
95,c, 20.1, 127.5, -60.4,26.36, 136.72, -54.76
97,c, 14.0, 124.6, -59.9,5.41, 118.97, -55.66
99,c, 17.4, 128.4, -64.8,16.44, 123.71, -72.49
101,c, 12.6, 132.5, -61.2,10.44, 128.71, -67.29
103,c, 23.3, 138.6, -61.4,37.29, 139.29, -61.55
105,c, 12.9, 136.9, -63.0,1.25, 135.99, -70.17
107,c, 16.4, 137.5, -64.3,22.38, 127.25, -72.20
109,c, 10.3, 137.8, -53.5,10.05, 124.24, -43.02
111,c, 9.3, 139.9, -58.9,-4.83, 138.76, -57.59
113,c, 16.0, 139.6, -60.3,25.50, 142.56, -64.64
115,c, 28.3, 104.7, -68.9,33.56, 97.77, -69.01
117,c, 24.8, 105.3, -73.3,32.35, 103.35, -72.24
119,c, 25.8, 104.2, -73.8,34.36, 99.21, -76.36
121,c, 25.6, 102.6, -74.1,32.17, 91.85, -79.16
123,c, 21.6, 101.1, -76.1,28.42, 93.65, -83.78
125,c, 19.5, 103.9, -73.2,17.18, 107.40, -72.55
127,c, 19.9, 98.3, -72.5,31.96, 84.47, -75.82
129,c, 9.0, 106.1, -69.7,6.71, 116.87, -59.21
131,c, 10.9, 102.2, -74.7,12.76, 95.53, -68.48
133,c, 0.9, 103.1, -81.2,-9.29, 103.30, -78.01
135,c, 6.5, 100.8, -84.5,12.16, 90.00, -86.94
137,c, 4.2, 106.5, -82.8,13.86, 109.58, -74.29
139,c, -2.7, 105.6, -84.5,-13.46, 107.39, -90.71
141,c, 0.7, 101.6, -88.8,2.34, 97.40, -95.79
143,c, -2.0, 104.2, -87.9,-12.35, 102.57, -100.38
145,c, -1.0, 102.2, -89.0,-5.71, 95.05, -92.61
